data_zone,intermediate_zone,council_area,total_population,working_age_population,income_dep_pct,income_dep,employ_dep_pct,employ_dep,cif,alcohol,drug,smr,depress_pct,lbwt_pct,emerg,attendance_pct,attainment_score,no_qual_ratio_std,not_participating_pct,university_pct,petrol_ave_drive_mins,gp_ave_drive_mins,drive_post,prim_sch_ave_drive_mins,drive_retail,sec_sch_ave_drive_mins,gp_ave_pub_trans_mins,pt_post,shopping_ave_pub_trans_mins,bband_pct,crime_count,crime_pct,overcrowd,nocentralheat,overcrowded_pct,nocentralheat_pct
S01010561,Nairn West,Highland,683,355,0.03,19,0.02,7,65,10.50097269,0,78.0058141,15.5325444,5.8823529,67.59952542,92.174,6.1578947368,44.43729815,0,13.2653,2.2025,3.778273481,2.68586326,3.411453488,3.70288674,3.907113402,15.87700967,11.45033149,12.00809392,4.8387097,NA,NA,19,12,2.7259683999999997,1.7216643
S01010562,Nairn West,Highland,739,471,0.04,30,0.05,24,60,36.67854502,45.17852205,77.20692603,17.373461000000002,0,79.93936113,88.667,5.7083333333,63.04453376,0,5.3846,2.012222982,4.17375855,2.994083447,3.953076923,4.11744186,3.520315315,14.29970246,10.13340971,10.82969904,0.9404389000000001,5.077029600138481,6870.134776912694,26,4,3.5567715,0.5471956
S01010563,Nairn West,Highland,517,327,0.15,76,0.09,29,110,113.2682033,29.38627189,114.8594752,19.507575799999998,15,100.6808755,80.503,5.2592592593,122.89661250000002,1.3513514,4.464300000000001,1.179590559,3.800192678,1.555423892,3.552763158,3.744330443,2.696822034,13.66770713,6.062225434,9.426252408,0,12.184871040332354,23568.4159387473,58,11,11.1753372,2.1194604999999997
S01010564,Nairn West,Highland,479,291,0.25,120,0.28,79,175,173.9336865,99.22652479,83.49571614,23.326572000000002,11.1111111,123.2311645,84.932,5,140.4741051,9.0909091,1.4493,2.095,4.71608,0.840365,4.353888889,4.6608,3.555930233,16.17587,3.7018,12.34877,0,26.4005539207201,55115.978957662,59,7,11.799999999999999,1.4000000000000001
S01010565,Nairn West,Highland,589,347,0.14,80,0.11,37,125,97.44821146,0,92.43685781,21.150592200000002,0,107.2080208,80,5.4782608696,95.19104391,0,5.1948,2.460263761,5.080355505,1.190317278,4.736782946,5.024724771,3.775458333,16.10589067,4.225259939,12.20033639,0,6.092435520166177,10343.693582625088,50,6,7.645259899999999,0.9174312
S01010566,Inverness East Rural,Highland,1111,694,0.02,24,0.02,12,45,22.50145072,40.52211904,54.1373773,11.4496768,0,70.10772842,85.664,6.0476190476,47.92661027,1.2195121999999998,10.9756,14.71684174,19.05634862,14.4858945,5.439128788,19.48377752,19.31142857,46.7520367,37.39651376,45.90713991,40.234375,5.077029600138481,4569.783618486482,55,42,5.0551471,3.8602941
S01010567,Inverness East Rural,Highland,1111,677,0.05,56,0.05,33,55,115.2484731,0,162.2795536,19.0178571,8.6956522,79.95194673,84.266,5.9772727273,65.01734558,0,10.1604,8.631552607,8.422651304,7.619788175,5.349977064,7.107611732,8.095358852,23.25398394,21.2138175,20.16911778,51.88916879999999,9.138653280249265,8225.610513275666,47,16,4.7812818,1.6276704
S01010568,Inverness East Rural,Highland,1114,706,0.08,87,0.06,45,70,13.75284504,14.22372876,70.00591636,13.636363600000001,2.7027026999999997,64.81475449,91.844,5.75,84.27404516,2.2388060000000003,12.820500000000001,11.32910141,8.632093373,8.803903112,2.898915254,9.428350904,10.21265306,31.53425452,30.70700803,24.54560743,25.3465347,17.261900640470834,15495.422477981001,45,23,4.605936499999999,2.3541453
S01010569,Inverness East Rural,Highland,1104,851,0.03,30,0.02,21,40,60.20601276,10.42375375,49.7087636,11.9926199,3.8461539000000005,60.39624378,82.692,5.6666666667,70.72798746,5.4794521,2.0942,8.74211793,4.972879061,5.047331528,6.406906077,9.055084236,9.356196581,17.4501444,14.16216907,21.6943562,58.648648599999994,12.184871040332354,11037.020869866263,15,32,2.1067416,4.494382
S01010570,Inverness East Rural,Highland,1067,657,0.18,196,0.1,65,110,60.9017965,95.71385705,96.75671107,18.1220657,0,112.4339038,65.32,4.7333333333,124.9805901,1.863354,3.4653000000000005,9.278386134,1.430112489,1.597949954,2.239097744,10.09065657,10.28961373,4.57540404,5.032915519,22.85496786,1.6528926,15.231088800415442,14274.684911354678,93,43,8.5399449,3.9485767
S01010571,Inverness Culloden and Balloch,Highland,722,475,0.06,43,0.07,34,70,18.62276364,37.08055883,99.24787609,17.6470588,6.0606061,102.9986378,86.577,5.7142857143,86.07594187,2.4390243999999996,4.5872,5.803585696,2.392867268,2.30185567,1.657590361,4.031865335,2.421313131,8.125257732,7.582384021,10.71821198,1.9851117,NA,NA,57,34,7.3453608,4.3814433
S01010572,Inverness Culloden and Balloch,Highland,734,460,0.11,84,0.1,44,120,102.3732626,20.21237297,109.5957826,20.845070399999997,2.1276596,124.2979789,76.077,5.0476190476,112.1167613,0.9708738,7.4074,4.471787582,1.026313725,0.920457516,2.257272727,4.206339869,3.144792899,4.298941176,3.556888889,10.90436601,0,23.35433616063701,31817.896676617187,76,33,9.9346405,4.3137255
S01010573,Inverness Culloden and Balloch,Highland,508,336,0.13,65,0.09,32,85,82.38919999,26.44966968,74.57555716,22.4806202,8,114.86872580000001,79.032,4.9047619048,132.4296457,2.5974026,5.263199999999999,5.188272472,1.893553371,1.778085206,1.761174497,4.685898876,2.933676471,6.783492509,6.033492509,10.82384831,0,9.138653280249265,17989.474961120603,36,27,6.741572999999999,5.0561798
S01010574,Inverness Culloden and Balloch,Highland,588,380,0.03,16,0.02,8,45,0,0,90.4517903,14.890016899999999,0,60.38335412,90.698,5.8260869565,63.42816009,1.1764706,14.7059,5.73795156,2.189581281,2.387081281,2.435,2.722775041,1.933818182,8.907438424,8.927545156,9.143017241,0,5.077029600138481,8634.404081868164,14,3,2.2988505999999997,0.4926108
S01010575,Inverness Culloden and Balloch,Highland,646,370,0.04,27,0.06,21,45,62.80875808,0,57.9571717,15.432098799999999,0,70.17601485,87.879,6.0571428571,47.3848012,1.4705882,34.117599999999996,6.282769679,3.541333819,3.740994898,2.276415094,1.703622449,3.032137405,13.10113703,12.35562682,7.779956268,0.6578946999999999,3.0462177600830884,4715.507368549673,4,7,0.5830904,1.0204081999999999
S01010576,Inverness Culloden and Balloch,Highland,797,454,0.02,16,0.02,9,40,17.31128555,23.26995079,63.88806062,17.478152299999998,0,65.18685505,87.336,6.25,45.99435795,0,24.7619,7.215009124,4.367734185,4.566399027,3.248048128,1.823899027,4.04125,13.8278528,13.07981144,6.666313869,68.4684685,NA,NA,14,1,1.703163,0.12165450000000001
S01010577,Inverness Smithton,Highland,894,556,0.19,174,0.13,70,140,151.7972317,144.3247565,101.6015235,21.612542,5.2631578999999995,142.359735,71.212,4.972972973,146.5925386,4.191616799999999,3.6842,4.644833518,2.322083796,2.520854606,2.458795732,5.297433407,4.365897436,9.777130966,9.072142064,14.5563929,0,46.70867232127402,52246.83704840494,137,18,15.205327399999998,1.9977802
S01010578,Inverness Smithton,Highland,536,383,0.12,66,0.11,41,120,109.3374225,103.7050159,100.2697326,22.4862889,0,108.1904865,71.094,5.619047619,112.64998020000002,4,7.199999999999999,4.198541667,2.131458333,2.329878472,2.998347826,5.107430556,4.095696203,10.24232639,9.810555556,14.65211806,0,4.061623680110785,7577.656119609672,47,3,8.1597222,0.5208332999999999
